,Title,Note,URL,Tags,Comment,lat,lng
42,ArtScience Museum,"Museum, $25, 2h",https://www.google.com/maps/place/ArtScience+Museum/data=!4m2!3m1!1s0x31da19042950679d:0x81c847e129eec549,,,1.2862738,103.8592663
43,Messina,"Cafe, $15, 0.5h",https://www.google.com/maps/place/Messina/data=!4m2!3m1!1s0x31da190076ebb5c5:0xd1fdddee3b9cdcc9,,,38.1937342,15.5542088
44,Hamburg Steak Keisuke,"Japanese, $20, 2h",https://www.google.com/maps/place/Hamburg+Steak+Keisuke/data=!4m2!3m1!1s0x31da196cd5678469:0x8a5148bf7db8e873,,,1.2772098,103.8447572
45,Five Oars Coffee Roasters Heritage,"Cafe, $10, 1h",https://www.google.com/maps/place/Five+Oars+Coffee+Roasters+Heritage/data=!4m2!3m1!1s0x31da19175e4c7367:0xe7d40b81ff908ff5,,,1.2789557,103.8440049
46,Noodle Star K @ Tanjong Pagar,"Korean, $20, 1.5h",https://www.google.com/maps/place/Noodle+Star+K+@+Tanjong+Pagar/data=!4m2!3m1!1s0x31da19e985878021:0x34a7ce33c59c1d57,,,1.2790721,103.8438054
47,Creamier Handcrafted Ice Cream and Coffee (Tiong Bahru),"Cafe, $15, 1h",https://www.google.com/maps/place/Creamier+Handcrafted+Ice+Cream+and+Coffee+(Tiong+Bahru)/data=!4m2!3m1!1s0x31da197a52a7e699:0xc041ade54980faa5,,,1.2828794,103.8303658
48,DOPA DOPA (South Bridge Rd),"Cafe, $10, 1h",https://www.google.com/maps/place/DOPA+DOPA+(South+Bridge+Rd)/data=!4m2!3m1!1s0x31da19d45f0f3d4b:0x5f2e6bc59b3b37bd,,,1.2878015,103.8486502
49,Hello Arigato Everton Park,"Cafe, $10, 0.5h",https://www.google.com/maps/place/Hello+Arigato+Everton+Park/data=!4m2!3m1!1s0x31da19b976a28685:0xb5c438cbf6c7826,,,1.2768625,103.8400932
50,TEMPT,"Western, $100, 2h",https://www.google.com/maps/place/TEMPT/data=!4m2!3m1!1s0x31da191f955acec7:0xcce78611ae92dd9c,,,36.8591552,-75.9823677
51,The Populus,"Cafe, $30, 1h",https://www.google.com/maps/place/The+Populus/data=!4m2!3m1!1s0x31da196db97648e3:0x3b53f4f43ac0f403,,,1.2782503,103.8406393
52,Bonjour Ma Cuisine,"French, $30, 1h",https://www.google.com/maps/place/Bonjour+Ma+Cuisine/data=!4m2!3m1!1s0x31da19e61f08563f:0x5480b74e8db66054,,,1.2782117,103.8420005
53,Birds of Paradise Gelato Boutique (Craig),"Cafe, $10, 0.5h",https://www.google.com/maps/place/Birds+of+Paradise+Gelato+Boutique+(Craig)/data=!4m2!3m1!1s0x31da1991d139fd97:0xe3fc86d12d611868,,,1.2777648,103.8422779
54,National Gallery Singapore,"Museum, $0, 2h",https://www.google.com/maps/place/National+Gallery+Singapore/data=!4m2!3m1!1s0x31da19a747de0c15:0xe5639e25fabece80,,,1.2902217,103.8515167
55,Station by Kotuwa,"Dinner, $50, 2h",https://www.google.com/maps/place/Station+by+Kotuwa/data=!4m2!3m1!1s0x31da196aa2cab63b:0x923ccee05a0687b3,,,1.2814005,103.8485518
56,National Museum of Singapore,"Museum, $0, 2h",https://www.google.com/maps/place/National+Museum+of+Singapore/data=!4m2!3m1!1s0x31da19a311be5b0f:0x92e311597c4db868,,,1.296613,103.8485091
57,The House Bar,"Bar, $30, 1.5h",https://www.google.com/maps/place/The+House+Bar/data=!4m2!3m1!1s0x31da197a81f146cf:0xfce55cab6c03c7c,,,1.3046549,103.8249313
58,Keef The Beef Bungalow,"Western, $100, 2h",https://www.google.com/maps/place/Keef+The+Beef+Bungalow/data=!4m2!3m1!1s0x31da1b252354612d:0x5b319b660baf6047,,,1.3045767,103.787518
59,Burnt Cones Gelato (Sunset Way),"Cafe, $15, 0.5h",https://www.google.com/maps/place/Burnt+Cones+Gelato+(Sunset+Way)/data=!4m2!3m1!1s0x31da1b5f46d0ce2b:0xb08bce57c9280de3,,,1.3223786,103.7701533
60,Citrus Kitchen,"Western, $30, 2h",https://www.google.com/maps/place/Citrus+Kitchen/data=!4m2!3m1!1s0x31da1b223f1bd3bf:0x13d273dc45c0b5a7,,,1.2881638,103.7830724
61,Hvala 111 Somerset,"Cafe, $20, 1h",https://www.google.com/maps/place/Hvala+111+Somerset/data=!4m2!3m1!1s0x31da19043e28ca35:0x9c40d9c5f9a28732,,,1.3003565,103.8379819
62,Universal Studios Singapore,"Theme park, $60, 5h",https://www.google.com/maps/place/Universal+Studios+Singapore/data=!4m2!3m1!1s0x31da1955a615a343:0x3094037d34e6529f,,,1.2540421,103.8238084
